É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/08/01 18:39:19

,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹,ïIê‹
îNåéì˙,ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ç≈ëΩïóå¸(16ï˚à ),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm)
,,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1990/1/1,17,8,1,2,8,1,-1.8,8,1,0.4,8,1,-3.4,8,1,,0,,0,1,ñkêº,8,1,0.1,8,1,115,8,1,21,8,1
1990/1/2,13,8,1,4,8,1,-1.2,8,1,1.2,8,1,-3.3,8,1,,0,,0,1,ìå,8,1,1.1,8,1,122,8,1,17,8,1
1990/1/3,12,8,1,2,8,1,-1.8,8,1,0.1,8,1,-4.6,8,1,,0,,0,1,ñkìå,8,1,1.5,8,1,126,8,1,33,8,1
1990/1/4,12,8,1,2,8,1,-1.6,8,1,-0.5,8,1,-2.4,8,1,,0,,0,1,ìÏêº,8,1,0.1,8,1,133,8,1,16,8,1
1990/1/5,6,8,1,1,8,1,0.1,8,1,1.4,8,1,-1.7,8,1,,0,,0,1,ñkñkêº,8,1,0.4,8,1,135,8,1,15,8,1
1990/1/6,25,8,1,3,8,1,0.6,8,1,5.2,8,1,-2.4,8,1,,0,,0,1,ìåìÏìå,8,1,0.4,8,1,128,8,1,15,8,1
1990/1/7,13,8,1,3,8,1,-2.4,8,1,-1.0,8,1,-3.5,8,1,,0,,0,1,,1,1,0.0,8,1,148,8,1,23,8,1
