îNåéì˙,ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ëÂèuä‘ïóë¨(m/s),ç≈ëÂèuä‘ïóë¨ÇÃïóå¸,ç≈ëΩïóå¸(16ï˚à ),ì˙è∆éûä‘(éûä‘),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm)
1978/01/01,17,2,1.7,4.3,-2.3,,,ñkìå,0,,
1978/01/02,4,1,-5.5,-2.9,-9.4,,,ìå,0,,
1978/01/03,2,1,-4.9,-0.7,-10.3,,,ìåìÏìå,3.9,,
1978/01/04,17,2,-3.4,-1.4,-4.8,,,ñkêº,0.9,,
1978/01/05,30,2,-3.1,-2.4,-4.6,,,ìå,0.7,,
1978/01/06,25,4,-2,-0.8,-4.9,,,êºñkêº,1.5,,
1978/01/07,32,3,-0.1,1.3,-1.9,,,êºñkêº,0.4,,
1978/01/08,2,1,-0.5,1,-2.2,,,ñkìå,1.5,,
1978/01/09,21,3,0.5,3.3,-2.2,,,ìÏêº,0.6,,
1978/01/10,21,3,-2.1,-0.6,-2.9,,,êºìÏêº,0,,
1978/01/11,11,4,1.5,5.2,-2.9,,,ìÏêº,0.3,,
1978/01/12,9,2,,,,,,ê√â∏,0,,
1978/01/13,8,3,-0.9,2.6,-3.9,,,êº,7.5,,
1978/01/14,11,4,0.6,6.5,-4.5,,,êºñkêº,6.1,,
1978/01/15,34,4,3.6,7.2,-3.3,,,ñkêº,0.2,,
1978/01/16,15,2,-4.5,-3.4,-5.4,,,êº,0,,
1978/01/17,3,1,-3.9,-2.1,-9.4,,,ìåìÏìå,0,,
1978/01/18,0,0,-4.2,2.1,-9.9,,,ìåñkìå,3.1,,
1978/01/19,14,2,-0.1,2.2,-1.8,,,êº,1.8,,
1978/01/20,6,1,-1.9,0.2,-6.5,,,ìåñkìå,1.1,,
1978/01/21,3,1,0.6,3.8,-2.1,,,ìåñkìå,6.1,,
1978/01/22,16,2,-1.7,-0.5,-3.1,,,êº,0.2,,
1978/01/23,8,2,-2.1,-0.9,-3.2,,,êº,2.3,,
1978/01/24,9,2,-2.3,-0.4,-4.2,,,ìåñkìå,2.1,,
1978/01/25,9,2,-4.7,-3.2,-6.2,,,êº,0.9,,
1978/01/26,0,0,-1.3,1.2,-3.8,,,ìÏìÏêº,4.3,,
1978/01/27,3,1,-0.3,2.7,-4.1,,,ñk,3.1,,
1978/01/28,13,2,-3.3,-0.7,-6.4,,,êºìÏêº,1.9,,
1978/01/29,13,2,-6.2,-4.5,-7.6,,,ìåñkìå,0.9,,
1978/01/30,4,1,-7.1,-4.5,-10.8,,,ìåñkìå,4.7,,
1978/01/31,36,3,-5.9,-2.3,-7.7,,,ìÏêº,0,,
1978/02/01,14,2,-7.8,-6.7,-8.8,,,êº,1.6,,
1978/02/02,10,1,-6.6,-6.2,-7.1,,,êº,2.1,,
1978/02/03,11,1,-6.7,-5.7,-7.4,,,êº,1,,
1978/02/04,19,2,-5.3,-3.7,-6.1,,,êº,2,,
1978/02/05,16,1,-5.3,-4.7,-5.7,,,êº,0,,
1978/02/06,11,1,-2.2,-0.8,-4.3,,,êº,4,,
1978/02/07,19,3,-1.6,-0.3,-2.4,,,êº,0.5,,
1978/02/08,8,1,-2.1,-1.1,-3.4,,,êº,3.6,,
1978/02/09,0,0,-1.4,0.7,-4.9,,,ìÏìÏêº,6.1,,
1978/02/10,12,2,-0.5,1.1,-1.7,,,ñkñkìå,0,,
1978/02/11,1,1,-0.9,0.7,-1.8,,,ìåìÏìå,3.2,,
1978/02/12,0,0,-3.4,-0.9,-10,,,ñkñkìå,7.7,,
1978/02/13,23,2,-3.8,1.4,-7.1,,,êº,2.6,,
1978/02/14,12,1,-7.2,-6.2,-8.2,,,êº,1.3,,
1978/02/15,30,3,-7.1,-6,-8.2,,,êº,1.9,,
1978/02/16,17,2,-7.6,-6.6,-8.9,,,ìåìÏìå,0.2,,
1978/02/17,2,1,-9.6,-3.2,-16.6,,,êºìÏêº,7.7,,
1978/02/18,10,2,-5.9,-1.1,-12.5,,,ñkêº,7.2,,
1978/02/19,5,1,-3.6,-1.7,-6.1,,,ìÏ,6.1,,
1978/02/20,13,1,-3,-0.4,-5.1,,,ìåìÏìå,0.3,,
1978/02/21,16,2,-4.5,-2.8,-9.1,,,êºñkêº,4,,
1978/02/22,42,4,-4.4,-3.1,-5,,,êº,1.3,,
1978/02/23,22,3,-5,-3.3,-6.2,,,êºñkêº,0.9,,
1978/02/24,10,1,-5,-3.8,-6,,,ñk,4.8,,
1978/02/25,10,1,-4.8,-2.5,-7,,,ìåñkìå,4.4,,
1978/02/26,24,3,-3.7,-0.6,-5.5,,,ìåñkìå,5.4,,
1978/02/27,0,0,0,3.1,-7.8,,,ìåñkìå,2.4,,
1978/02/28,1,1,-1.8,5.4,-13.3,,,ìÏ,7.7,,
1978/03/01,8,1,-3.1,2.6,-5.5,,,êº,0,,
1978/03/02,5,1,-1.3,1.4,-4.4,,,êº,5.7,,
1978/03/03,1,1,0.6,2.9,-2.2,,,ñkìå,3.5,,
1978/03/04,10,2,2.3,5.3,0.3,,,ìÏ,2.6,,
1978/03/05,2,1,-0.1,1,-0.9,,,ñkìå,4,,
1978/03/06,1,1,-0.7,1.7,-6.1,,,êºñkêº,7.8,,
1978/03/07,0,0,-1.8,3.8,-9.4,,,ñk,9.6,,
1978/03/08,0,0,1.7,3.9,-0.9,,,ñkìå,7.4,,
1978/03/09,0,0,0.8,3.5,-1.2,,,ìå,9.6,,
1978/03/10,21,4,1,3.7,-1.2,,,ìÏ,4.8,,
1978/03/11,4,1,-0.2,2.8,-2,,,êº,4.6,,
1978/03/12,4,1,-2.5,-0.3,-4.5,,,êº,7.3,,
1978/03/13,14,2,-3.5,-1.4,-4.9,,,êºìÏêº,4.1,,
1978/03/14,12,2,-3,-2.2,-4.1,,,êº,2.8,,
1978/03/15,4,2,-1.3,-0.2,-3,,,ñkìå,2.8,,
1978/03/16,3,1,-0.9,0.7,-2.5,,,ìåñkìå,6.7,,
1978/03/17,0,0,0.3,2.1,-1.4,,,êº,4.8,,
1978/03/18,0,0,0.2,4.8,-3.4,,,ìÏìÏêº,8.6,,
1978/03/19,6,1,0.6,3,-2.2,,,êºñkêº,1.7,,
1978/03/20,4,1,2.4,4.9,-0.7,,,êºñkêº,8.2,,
1978/03/21,0,0,1,4.2,-4,,,ñkìå,9.2,,
1978/03/22,8,1,0.8,2.9,-0.8,,,ìÏìÏìå,3.6,,
1978/03/23,9,2,-0.8,1,-2.4,,,êº,6.7,,
1978/03/24,7,2,1.9,5.2,-1.5,,,êº,6.7,,
1978/03/25,0,0,4.9,8.2,-0.7,,,ìÏêº,9.8,,
1978/03/26,0,0,5.1,9.3,-0.4,,,ñkêº,9.7,,
1978/03/27,0,0,2.4,8.7,-2.8,,,êºñkêº,10.9,,
1978/03/28,14,2,2.8,8,-2.1,,,ìÏ,0.9,,
1978/03/29,1,1,1.6,3.4,-2,,,ñkñkìå,9.1,,
1978/03/30,0,0,0.1,4.7,-2.9,,,êº,8.5,,
1978/03/31,3,1,-1.9,1,-3.5,,,ñkìå,7.5,,
1978/04/01,1,1,-1,0.9,-2.5,,,êºñkêº,10.2,,
1978/04/02,0,0,0.6,4,-2.4,,,ñkìå,8.7,,
1978/04/03,28,4,0.4,1.2,-0.2,,,ñkìå,0,,
1978/04/04,24,5,1,3.7,-3.3,,,êºìÏêº,5.7,,
1978/04/05,0,0,0.5,7.3,-6.1,,,êºìÏêº,11.4,,
1978/04/06,7,2,3.5,8.3,-1.6,,,êºñkêº,3.6,,
1978/04/07,6,3,3.4,5.6,2,,,êºñkêº,5.1,,
1978/04/08,5,3,4.5,4.5,4.5,,,êºñkêº,10.1,,
1978/04/09,15,7,,,,,,,6,,
1978/04/10,0,0,3.2,5.3,-0.3,,,ìå,11.6,,
1978/04/11,0,0,1.8,7.3,-3.7,,,ìåñkìå,11.1,,
1978/04/12,0,0,3.3,7.3,1.4,,,ñkìå,5.9,,
1978/04/13,3,1,2.9,4.6,1.7,,,êº,0.1,,
1978/04/14,1,1,3.5,6.9,-0.1,,,ñkñkìå,11.6,,
1978/04/15,0,0,5.7,13.2,0,,,ñkñkìå,10.8,,
1978/04/16,6,2,7.1,13.4,3.3,,,ìÏêº,5.6,,
1978/04/17,0,0,4.8,7.8,-0.2,,,êº,8.1,,
1978/04/18,8,4,3.6,8.6,-1.8,,,ìÏìÏìå,8,,
1978/04/19,6,3,3.3,7.2,0.6,,,ñkñkìå,8.2,,
1978/04/20,5,2,4.1,6.7,1.5,,,êº,6,,
1978/04/21,0,0,6,9,2.3,,,ìÏêº,10.6,,
1978/04/22,0,0,6.2,10.6,-0.2,,,êºìÏêº,12,,
1978/04/23,0,0,4.9,12.1,-2.4,,,êºìÏêº,11.5,,
1978/04/24,0,0,6.3,12.7,3.1,,,êºìÏêº,7.4,,
1978/04/25,7,2,5.5,9.8,3.1,,,êº,0.4,,
1978/04/26,0,0,7.3,11.3,0.6,,,êºñkêº,12,,
1978/04/27,0,0,7,13.6,-0.4,,,êºñkêº,6.5,,
1978/04/28,0,0,8.2,12.7,2.3,,,êºñkêº,8,,
1978/04/29,2,1,6.5,12.7,2.7,,,ñkìå,5,,
1978/04/30,0,0,8.1,16.4,3.4,,,êº,9.6,,
1978/05/01,0,0,10,18.3,4.1,,,ìÏêº,11.5,,
1978/05/02,1,1,8.8,14,4.7,,,êº,6.5,,
1978/05/03,0,0,9.8,16.3,3.9,,,êºìÏêº,12.1,,
1978/05/04,0,0,10,17.3,3.1,,,ìÏêº,12.2,,
1978/05/05,0,0,10.5,17.9,2.3,,,ñkêº,10.9,,
1978/05/06,0,0,6.5,12.1,1.6,,,êºìÏêº,11,,
1978/05/07,0,0,8.6,16.7,1.8,,,ìÏêº,9.1,,
1978/05/08,0,0,9.7,20.2,2.8,,,ìÏìÏêº,8.8,,
1978/05/09,1,1,11.4,21,3.7,,,ìÏêº,9.1,,
1978/05/10,3,2,7.5,8.4,6.6,,,êºìÏêº,0,,
1978/05/11,0,0,7.9,12.4,3.5,,,êºñkêº,2.7,,
1978/05/12,0,0,8.3,14.5,1.1,,,ñkêº,11.9,,
1978/05/13,0,0,9.5,20.5,-0.8,,,ìå,12.5,,
1978/05/14,0,0,11.5,22.4,2.1,,,ìå,12.4,,
1978/05/15,0,0,11.9,23.1,1.2,,,ñkìå,12.5,,
1978/05/16,0,0,13.4,24.2,3.5,,,ñk,12.4,,
1978/05/17,0,0,14.8,25.8,5,,,ìåñkìå,12.3,,
1978/05/18,2,1,14.3,18.7,8.2,,,ìÏêº,2.4,,
1978/05/19,1,1,15.4,19.7,11.4,,,ìÏìÏêº,1.4,,
1978/05/20,0,0,12.4,17.6,7.6,,,ìÏêº,5.8,,
1978/05/21,1,1,10.5,14.6,7,,,ìÏêº,0,,
1978/05/22,0,0,10.8,13.4,7.7,,,êºìÏêº,4.5,,
1978/05/23,0,0,11.6,18.4,4.1,,,ìå,11.3,,
1978/05/24,0,0,11.9,23.4,3,,,ìå,6.2,,
