date,col2,col3,avg_temp,max_temp,min_temp,col7,col8,col9,col10,col11,col12
1994/08/13,0.0,0.0,26.8,35.3,20.2,,,東北東,11.2,,
1978/08/03,1.0,1.0,28.3,35.1,21.5,,,南西,11.0,,
1997/08/09,0.0,0.0,27.2,34.0,20.7,,,西南西,7.3,,
2000/08/01,0.0,0.0,26.1,34.0,21.4,,,南東,9.4,,
2025/07/29,0.0,0.0,25.7,33.8,18.9,5.9,北北東,西南西,12.9,0.0,0.0
1994/08/14,0.0,0.0,26.8,33.6,20.6,,,北北東,11.1,,
1985/08/05,0.0,0.0,24.6,33.6,17.6,,,東北東,11.7,,
2021/08/06,0.0,0.0,26.1,33.5,21.0,7.7,北北東,北北東,12.5,0.0,0.0
2018/08/23,0.0,0.0,27.2,33.4,19.3,7.1,南南東,北東,11.4,0.0,0.0
2004/07/31,0.0,0.0,26.8,33.4,19.4,,,南東,11.5,,
2007/08/12,0.0,0.0,25.6,33.3,19.3,,,北,11.6,,
1990/08/22,0.0,0.0,28.2,33.3,22.1,,,南西,7.5,,
2018/07/30,0.0,0.0,26.2,33.3,20.2,8.5,南西,北北東,9.5,0.0,0.0
2015/07/22,0.0,0.0,25.7,33.3,19.7,5.5,北東,西南西,8.7,0.0,0.0
2019/08/15,0.0,0.0,27.9,33.2,22.3,13.5,東南東,東,9.3,0.0,0.0
2018/07/31,0.0,0.0,25.9,33.2,19.5,5.8,南西,西南西,11.4,0.0,0.0
1994/08/12,0.0,0.0,27.3,33.2,21.9,,,東北東,10.8,,
2025/07/21,0.0,0.0,25.6,33.1,19.4,6.3,北北東,西南西,11.0,0.0,0.0
2004/07/30,0.0,0.0,26.8,33.1,20.6,,,南南東,10.9,,
2023/08/23,0.0,0.0,27.3,33.0,22.1,8.2,南南東,東,12.0,0.0,0.0
1999/08/08,0.0,0.0,24.9,33.0,18.7,,,北東,12.2,,
2007/08/14,0.0,0.0,26.7,33.0,20.0,,,西南西,11.0,,
2025/07/30,0.0,0.0,25.2,33.0,18.3,7.9,北北東,北北東,13.0,0.0,0.0
2023/08/24,0.0,0.0,26.6,32.9,21.7,4.7,東,東北東,7.7,0.0,0.0
2015/08/04,0.0,0.0,25.0,32.9,18.7,4.8,北北東,西南西,10.5,0.0,0.0
2004/08/05,0.0,0.0,25.5,32.9,18.4,,,南,6.6,,
2023/08/22,0.0,0.0,26.4,32.9,20.9,7.1,南南東,南西,11.6,0.0,0.0
1985/08/30,0.0,0.0,25.8,32.9,19.8,,,東,10.5,,
2025/07/22,0.0,0.0,25.5,32.8,19.3,6.2,北北西,西,12.2,0.0,0.0
2015/08/05,0.0,0.0,24.7,32.8,17.2,6.1,北,西南西,11.9,0.0,0.0
2020/08/28,0.0,0.0,26.3,32.7,20.5,4.2,北北東,西南西,9.2,0.0,0.0
2023/08/25,0.0,0.0,26.1,32.7,20.7,3.9,東,西,7.6,0.0,0.0
1999/07/27,0.0,0.0,25.7,32.7,18.3,,,東北東,12.6,,
