順位	年	真夏日の日数
1	2023	34
2	2025	30
3	2012	25
4	1985	23
5	2010	22
6	1999	19
7	1994	18
7	2018	18
7	1978	18
10	2004	17
11	2015	16
11	1984	16
13	2021	14
13	2019	14
15	1990	13
16	2024	12
17	2002	11
17	2011	11
19	1986	8
19	2007	8
19	2020	8
22	2016	7
22	2000	7
22	1995	7
22	2013	7
26	2014	6
26	1996	6
26	2017	6
29	1981	5
29	1992	5
29	1991	5
29	1989	5
33	2001	4
33	2022	4
33	1997	4
33	2005	4
37	1987	3
37	1979	3
37	2006	3
40	1982	2
40	1983	2
40	2008	2
40	1988	2
40	2003	2
45	2009	1
45	1998	1
47	1980	0
47	1993	0
