year,similarity_score
2015,0.24429804425655016
2004,0.32477865218176377
2016,0.367552141500745
2009,0.38291167338599297
2023,0.40497096188957826
1998,0.4331813718758133
2010,0.5186460303492827
2008,0.5566511753899784
2003,0.5763167399047657
2007,0.6080831974888581
2019,0.6373983984505835
1997,0.7745939059407493
1996,0.7928836251409199
2006,0.854949803772875
2021,0.9068983519666993
2018,0.9564089885663826
2013,1.0084305220988712
2000,1.048442404319755
2024,1.0842703647361651
2002,1.1125733805634528
1995,1.1386215726711537
1999,1.1393067205627574
2020,1.1441519630275352
2011,1.4689051447019263
2012,1.5004656544564685
2017,1.5425490008247733
2022,1.5675856954516822
2001,1.6349777836344852
2014,1.9560847967764754
2005,1.9896829362877742
