年月日,降水量の合計(mm),1時間降水量の最大(mm),平均気温(℃),最高気温(℃),最低気温(℃),最大瞬間風速(m/s),最大瞬間風速の風向,最多風向(16方位),日照時間(時間),降雪量合計(cm),最深積雪(cm)
1978/1/1,17,2,1.7,4.3,-2.3,,,北東,0,0,0
1978/1/2,4,1,-5.5,-2.9,-9.4,,,東,0,0,0
1978/1/3,2,1,-4.9,-0.7,-10.3,,,東南東,3.9,0,0
1978/1/4,17,2,-3.4,-1.4,-4.8,,,北西,0.9,0,0
1978/1/5,30,2,-3.1,-2.4,-4.6,,,東,0.7,0,0
1978/1/6,25,4,-2,-0.8,-4.9,,,西北西,1.5,0,0
1978/1/7,32,3,-0.1,1.3,-1.9,,,西北西,0.4,0,0
1978/1/8,2,1,-0.5,1,-2.2,,,北東,1.5,0,0
1978/1/9,21,3,0.5,3.3,-2.2,,,南西,0.6,0,0
1978/1/10,21,3,-2.1,-0.6,-2.9,,,西南西,0,0,0
1978/1/11,11,4,1.5,5.2,-2.9,,,南西,0.3,0,0
1978/1/12,9,2,,,,,,静穏,0,0,0
1978/1/13,8,3,-0.9,2.6,-3.9,,,西,7.5,0,0
1978/1/14,11,4,0.6,6.5,-4.5,,,西北西,6.1,0,0
1978/1/15,34,4,3.6,7.2,-3.3,,,北西,0.2,0,0
1978/1/16,15,2,-4.5,-3.4,-5.4,,,西,0,0,0
1978/1/17,3,1,-3.9,-2.1,-9.4,,,東南東,0,0,0
1978/1/18,0,0,-4.2,2.1,-9.9,,,東北東,3.1,0,0
1978/1/19,14,2,-0.1,2.2,-1.8,,,西,1.8,0,0
1978/1/20,6,1,-1.9,0.2,-6.5,,,東北東,1.1,0,0
1978/1/21,3,1,0.6,3.8,-2.1,,,東北東,6.1,0,0
1978/1/22,16,2,-1.7,-0.5,-3.1,,,西,0.2,0,0
1978/1/23,8,2,-2.1,-0.9,-3.2,,,西,2.3,0,0
1978/1/24,9,2,-2.3,-0.4,-4.2,,,東北東,2.1,0,0
1978/1/25,9,2,-4.7,-3.2,-6.2,,,西,0.9,0,0
1978/1/26,0,0,-1.3,1.2,-3.8,,,南南西,4.3,0,0
1978/1/27,3,1,-0.3,2.7,-4.1,,,北,3.1,0,0
1978/1/28,13,2,-3.3,-0.7,-6.4,,,西南西,1.9,0,0
1978/1/29,13,2,-6.2,-4.5,-7.6,,,東北東,0.9,0,0
1978/1/30,4,1,-7.1,-4.5,-10.8,,,東北東,4.7,0,0
1978/1/31,36,3,-5.9,-2.3,-7.7,,,南西,0,0,0
1978/2/1,14,2,-7.8,-6.7,-8.8,,,西,1.6,0,0
1978/2/2,10,1,-6.6,-6.2,-7.1,,,西,2.1,0,0
1978/2/3,11,1,-6.7,-5.7,-7.4,,,西,1,0,0
1978/2/4,19,2,-5.3,-3.7,-6.1,,,西,2,0,0
1978/2/5,16,1,-5.3,-4.7,-5.7,,,西,0,0,0
1978/2/6,11,1,-2.2,-0.8,-4.3,,,西,4,0,0
1978/2/7,19,3,-1.6,-0.3,-2.4,,,西,0.5,0,0
1978/2/8,8,1,-2.1,-1.1,-3.4,,,西,3.6,0,0
1978/2/9,0,0,-1.4,0.7,-4.9,,,南南西,6.1,0,0
1978/2/10,12,2,-0.5,1.1,-1.7,,,北北東,0,0,0
1978/2/11,1,1,-0.9,0.7,-1.8,,,東南東,3.2,0,0
1978/2/12,0,0,-3.4,-0.9,-10,,,北北東,7.7,0,0
1978/2/13,23,2,-3.8,1.4,-7.1,,,西,2.6,0,0
1978/2/14,12,1,-7.2,-6.2,-8.2,,,西,1.3,0,0
1978/2/15,30,3,-7.1,-6,-8.2,,,西,1.9,0,0
1978/2/16,17,2,-7.6,-6.6,-8.9,,,東南東,0.2,0,0
1978/2/17,2,1,-9.6,-3.2,-16.6,,,西南西,7.7,0,0
1978/2/18,10,2,-5.9,-1.1,-12.5,,,北西,7.2,0,0
1978/2/19,5,1,-3.6,-1.7,-6.1,,,南,6.1,0,0
1978/2/20,13,1,-3,-0.4,-5.1,,,東南東,0.3,0,0
1978/2/21,16,2,-4.5,-2.8,-9.1,,,西北西,4,0,0
1978/2/22,42,4,-4.4,-3.1,-5,,,西,1.3,0,0
1978/2/23,22,3,-5,-3.3,-6.2,,,西北西,0.9,0,0
1978/2/24,10,1,-5,-3.8,-6,,,北,4.8,0,0
1978/2/25,10,1,-4.8,-2.5,-7,,,東北東,4.4,0,0
1978/2/26,24,3,-3.7,-0.6,-5.5,,,東北東,5.4,0,0
1978/2/27,0,0,0,3.1,-7.8,,,東北東,2.4,0,0
1978/2/28,1,1,-1.8,5.4,-13.3,,,南,7.7,0,0
1978/3/1,8,1,-3.1,2.6,-5.5,,,西,0,0,0
1978/3/2,5,1,-1.3,1.4,-4.4,,,西,5.7,0,0
1978/3/3,1,1,0.6,2.9,-2.2,,,北東,3.5,0,0
1978/3/4,10,2,2.3,5.3,0.3,,,南,2.6,0,0
1978/3/5,2,1,-0.1,1,-0.9,,,北東,4,0,0
1978/3/6,1,1,-0.7,1.7,-6.1,,,西北西,7.8,0,0
1978/3/7,0,0,-1.8,3.8,-9.4,,,北,9.6,0,0
1978/3/8,0,0,1.7,3.9,-0.9,,,北東,7.4,0,0
1978/3/9,0,0,0.8,3.5,-1.2,,,東,9.6,0,0
1978/3/10,21,4,1,3.7,-1.2,,,南,4.8,0,0
1978/3/11,4,1,-0.2,2.8,-2,,,西,4.6,0,0
1978/3/12,4,1,-2.5,-0.3,-4.5,,,西,7.3,0,0
1978/3/13,14,2,-3.5,-1.4,-4.9,,,西南西,4.1,0,0
1978/3/14,12,2,-3,-2.2,-4.1,,,西,2.8,0,0
1978/3/15,4,2,-1.3,-0.2,-3,,,北東,2.8,0,0
1978/3/16,3,1,-0.9,0.7,-2.5,,,東北東,6.7,0,0
1978/3/17,0,0,0.3,2.1,-1.4,,,西,4.8,0,0
1978/3/18,0,0,0.2,4.8,-3.4,,,南南西,8.6,0,0
1978/3/19,6,1,0.6,3,-2.2,,,西北西,1.7,0,0
1978/3/20,4,1,2.4,4.9,-0.7,,,西北西,8.2,0,0
1978/3/21,0,0,1,4.2,-4,,,北東,9.2,0,0
1978/3/22,8,1,0.8,2.9,-0.8,,,南南東,3.6,0,0
1978/3/23,9,2,-0.8,1,-2.4,,,西,6.7,0,0
1978/3/24,7,2,1.9,5.2,-1.5,,,西,6.7,0,0
1978/3/25,0,0,4.9,8.2,-0.7,,,南西,9.8,0,0
1978/3/26,0,0,5.1,9.3,-0.4,,,北西,9.7,0,0
1978/3/27,0,0,2.4,8.7,-2.8,,,西北西,10.9,0,0
1978/3/28,14,2,2.8,8,-2.1,,,南,0.9,0,0
1978/3/29,1,1,1.6,3.4,-2,,,北北東,9.1,0,0
1978/3/30,0,0,0.1,4.7,-2.9,,,西,8.5,0,0
1978/3/31,3,1,-1.9,1,-3.5,,,北東,7.5,0,0
1978/4/1,1,1,-1,0.9,-2.5,,,西北西,10.2,0,0
1978/4/2,0,0,0.6,4,-2.4,,,北東,8.7,0,0
1978/4/3,28,4,0.4,1.2,-0.2,,,北東,0,0,0
1978/4/4,24,5,1,3.7,-3.3,,,西南西,5.7,0,0
1978/4/5,0,0,0.5,7.3,-6.1,,,西南西,11.4,0,0
1978/4/6,7,2,3.5,8.3,-1.6,,,西北西,3.6,0,0
1978/4/7,6,3,3.4,5.6,2,,,西北西,5.1,0,0
1978/4/8,5,3,4.5,4.5,4.5,,,西北西,10.1,0,0
1978/4/9,15,7,,,,,,,6,0,0
1978/4/10,0,0,3.2,5.3,-0.3,,,東,11.6,0,0
1978/4/11,0,0,1.8,7.3,-3.7,,,東北東,11.1,0,0
1978/4/12,0,0,3.3,7.3,1.4,,,北東,5.9,0,0
1978/4/13,3,1,2.9,4.6,1.7,,,西,0.1,0,0
1978/4/14,1,1,3.5,6.9,-0.1,,,北北東,11.6,0,0
1978/4/15,0,0,5.7,13.2,0,,,北北東,10.8,0,0
1978/4/16,6,2,7.1,13.4,3.3,,,南西,5.6,0,0
1978/4/17,0,0,4.8,7.8,-0.2,,,西,8.1,0,0
1978/4/18,8,4,3.6,8.6,-1.8,,,南南東,8,0,0
1978/4/19,6,3,3.3,7.2,0.6,,,北北東,8.2,0,0
1978/4/20,5,2,4.1,6.7,1.5,,,西,6,0,0
1978/4/21,0,0,6,9,2.3,,,南西,10.6,0,0
1978/4/22,0,0,6.2,10.6,-0.2,,,西南西,12,0,0
1978/4/23,0,0,4.9,12.1,-2.4,,,西南西,11.5,0,0
